UL_1,UL_2,LL_1,LL_2,JAW_1,JAW_2,TT_1,TT_2,TF_1,TF_2,TD_1,TD_2,TR_1,TR_2,LX,JA,UY,LY,CL,CA,NA,GW,TL,TA,F0a,PIa,SPIa,HX,LX_vl,JA_vl,UY_vl,LY_vl,CL_vl,CA_vl,NA_vl,GW_vl,TL_vl,TA_vl,F0a_vl,PIa_vl,SPIa_vl,HX_vl,PRO,LA,TBCL,TBCD,VEL,GLO,TTCL,TTCD,TTCR,F0,PI,SPI,TRt,gPRO,gLA,gTBCL,gTBCD,gVEL,gGLO,gTTCL,gTTCD,gTTCR,gF0,gPI,gSPI,gTR
137.5,130.26785714285714,135.42625660935843,121.5791482334786,126.31911375221559,120.59700537633574,112.57418757105637,117.13621859233609,85.29258276520214,136.35216426120436,70.77163993726411,130.33739280342812,64.75686847948785,115.81644997549009,0.09107142857142858,1.2907963267948965,-0.009821428571428571,0.009821428571428571,0.7642857142857143,-0.21,0.0,0.0,0.31250000000000006,0,125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9.107142857142858,7.7588953410687775,121.67384794223769,8.654337753120089,0.0,0.0,26.16386500396164,16.31461248387526,52.41396863941799,125,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
137.5,130.26785714285714,135.4257533668539,121.5773982086181,126.31861050971106,120.59525535147525,112.57362849070515,117.13469034167889,85.29200239399609,136.35107619815986,70.77105956605806,130.3363047403836,64.7562881082818,115.81536191244557,0.09107142857142858,1.2907801918408115,-0.009821428571428571,0.009821428571428571,0.7642857142857143,-0.21,0.0,0.0,0.31250000000000006,0,125,0,0,0,0,-0.006453981633974482,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9.107142857142858,7.760645365929281,121.67922776214658,8.654958956905629,0.0,0.0,26.161154566775444,16.315795351315522,52.41304417464628,125,0,0,0,0,1,1.25,1.25,0,0,0,0,0,0,0,0,0
137.5,130.23747700394387,135.43347664173015,121.75616829091666,126.3263337845873,120.62212473920738,112.27268415169392,117.08793907824143,85.15796068104892,136.5121452773131,70.63701785311089,130.49737381953685,64.62224639533463,115.9764309915988,0.09107142857142858,1.2910279151250224,-0.01012522996056142,0.011340435517092812,0.7623453843111279,-0.20921105505937734,0.0,0.0,0.31250000000000006,0,125,0,0,0,0,0.10554329531834583,-0.12152055565313939,0.607602778265697,-0.776131989834598,0.31557797624905776,0.0,0.0,0,0,0,0,0,0,9.107142857142858,7.551495144717428,121.8254471064872,8.447457530317154,0.0,0.0,26.383176611632607,16.606236024362563,51.92918389485741,125,0,0,0,0,1,1.75,1.75,0,0,0,0,0,0,0,0,0
137.5,130.16265707594866,135.45414773044348,122.20230663810247,126.34700487330063,120.69416344641716,111.50793381302648,116.96726005381205,84.8172039896846,136.90263266350146,70.29626116174657,130.88786120572522,64.28148970397031,116.36691837778719,0.09107142857142858,1.2916919916278,-0.01087342924051347,0.015081431916853065,0.7575051742688708,-0.20743732115911215,0.0,0.0,0.31250000000000006,0,125,0,0,0,0,0.16008730579274175,-0.17775915632768086,0.8887957816384043,-1.1599520270682608,0.3939155838570154,0.0,0.0,0,0,0,0,0,0,9.107142857142858,7.030536869536422,122.22253016720553,7.935694529755355,0.0,0.0,26.96869638124364,17.3434780502543,50.72482291468618,125,0,0,0,0,1,2.0,2.0,0,0,0,0,0,0,0,0,0
137.5,130.0688616112466,135.47995755181032,122.7614854830459,126.37281469466747,120.78436496785038,110.50100905316624,116.79714781573327,84.36675143888974,137.37243093540812,69.8458086109517,131.35765947763187,63.831037153175444,116.83671664969384,0.09107142857142858,1.2925233208076274,-0.011811383887533899,0.019771205151955202,0.7513295195491616,-0.20554465233954022,0.0,0.0,0.31250000000000006,0,125,0,0,0,0,0.17244436613823733,-0.19742270248049018,0.9871135124024509,-1.3103098608153867,0.3631519439717585,0.0,0.0,0,0,0,0,0,0,9.107142857142858,6.377562559890951,122.811505207614,7.297396438929404,0.0,0.0,27.77403363380253,18.315539216274388,49.187256066837534,125,0,0,0,0,1,2.0,2.0,0,0,0,0,0,0,0,0,0
137.5,129.9703991049732,135.5058491076536,123.34457131045134,126.39870625051076,120.87513826388883,109.39470063151677,116.60154235297833,83.87131856944416,137.84284040650155,69.35037574150613,131.8280689487253,63.335604283729865,117.30712612078727,0.09107142857142858,1.2933597203927423,-0.012796008950267895,0.02469433046562518,0.7447579765817373,-0.20388410507860633,0.0,0.0,0.31250000000000006,0,125,0,0,0,0,0.16211546790768974,-0.19642732261310822,0.9821366130655411,-1.3183073261543394,0.301066960401801,0.0,0.0,0,0,0,0,0,0,9.107142857142858,5.6960142262121,123.50368995323586,6.63259799173061,0.0,0.0,28.725035514341588,19.382333285306096,47.54836112043924,125,0,0,0,0,1,2.0,2.0,0,0,0,0,0,0,0,0,0
137.5,129.87518404225742,135.52925711752656,123.90296161654946,126.42211426038371,120.95745325640793,108.28327894336601,116.40059330186007,83.37425020624298,138.27660512154836,68.85330737830495,132.2618336637721,62.838535920528685,117.74089083583408,0.09107142857142858,1.2941180116035702,-0.01374815957742591,0.029455083601415258,0.7383455396443471,-0.20255171639775746,0.0,0.0,0.31250000000000006,0,125,0,0,0,0,0.1412010164234534,-0.18443292825009802,0.9221646412504901,-1.2466674488017038,0.23188851193774512,0.0,0.0,0,0,0,0,0,0,9.107142857142858,5.0424088573982,124.21986251256503,5.995432040016091,0.0,0.0,29.773416025078546,20.449953764986745,45.94583103984154,125,0,0,0,0,1,2.0,2.0,0,0,0,0,0,0,0,0,0
137.5,129.78726814429473,135.54912162439112,124.41258202700499,126.44197876724826,121.02749417705004,107.22450908847262,116.20679265399494,82.90162238302972,138.6582380032499,68.38067955509169,132.64346654547364,62.365908097315426,118.12252371753561,0.09107142857142858,1.294763104676226,-0.014627318557052748,0.033850878499549444,0.7323929762103832,-0.2015485790614766,0.0,0.0,0.31250000000000006,0,125,0,0,0,0,0.11683621263885446,-0.16723066360063704,0.8361533180031853,-1.1343579247838516,0.16936642257459128,0.0,0.0,0,0,0,0,0,0,9.107142857142858,4.444872548979969,124.9119315198331,5.41300943584525,0.0,0.0,30.87786179833528,21.461476030745064,44.45485785631371,125,0,0,0,0,1,2.0,2.0,0,0,0,0,0,0,0,0,0
137.5,129.7084011437958,135.56523226134976,124.86384884338226,126.4580894042069,121.08442599093274,106.25137301704501,116.02754353158575,82.46807822424263,138.98461561689967,67.9471353963046,132.96984415912343,61.93236393852834,118.4489013311854,0.09107142857142858,1.2952873729955845,-0.015415988562041894,0.037794228524495176,0.7270430569764621,-0.20082687217355688,0.0,0.0,0.31250000000000006,0,125,0,0,0,0,0.09287111510457652,-0.14823733839502148,0.7411866919751074,-1.0056097687845922,0.11931633259330199,0.0,0.0,0,0,0,0,0,0,9.107142857142858,3.914738732103789,125.55201737977761,4.896302077305542,0.0,0.0,32.00143699432359,22.385066219294174,43.111651706424205,125,0,0,0,0,1,2.0,2.0,0,0,0,0,0,0,0,0,0
137.5,129.63899005251886,135.57781056260438,125.25543291741995,126.47066770546152,121.12895460858576,105.37973557308354,115.86665835336896,82.08051165540294,139.25895019105653,67.55956882746491,133.24417873328028,61.54479736968865,118.72323590534225,0.09107142857142858,1.2956973697765835,-0.016110099474811245,0.04126478308834194,0.7223412335212421,-0.2003219745743672,0.0,0.0,0.31250000000000006,0,125,0,0,0,0,0.07112759729496941,-0.12940702671271923,0.6470351335635961,-0.8751196133033736,0.08264270708257301,0.0,0.0,0,0,0,0,0,0,9.107142857142858,3.4537435667891656,126.12601513579888,4.446978880445101,0.0,0.0,33.1114825154201,23.206181771865282,41.92825480439064,125,0,0,0,0,1,2.0,2.0,0,0,0,0,0,0,0,0,0
